wine_name,viticultural_domain,grape_variety,region,wine_style,alcohol_content,allergens,food_pairing,wine_rating,wine_rating_nb,bottle_price,bottle_image,wine_url
Givry 1er Cru 'La grande Berge' 2015,Jean Tatraux & Fils,Pinot Noir,France / Bourgogne / Côte Chalonnaise / Givry / Givry Premier Cru / Givry 1er Cru 'La grande Berge',Bourgogne-Côte Chalonnaise rouge,,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,2",37 notes,"€14,10",https://images.vivino.com/thumbs/014bmsuq522ln_150x200.jpg,https://www.vivino.com/FR/fr/jean-tatraux-et-fils-la-grande-berge-givry-1er-cru/w/1696822?year=2015&price_id=9853259
Rully 1er Cru 'Rabourcé' 2013,Celine et Vincent Dureuil,Chardonnay,France / Bourgogne / Côte Chalonnaise / Rully / Rully Premier Cru / Rully 1er Cru 'Rabourcé',Bourgogne-Côte Chalonnaise blanc,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,2",36 notes,"€15,70",https://images.vivino.com/thumbs/F-rB4ivvQVy2HJN9T4XX3Q_pb_x600.png,https://www.vivino.com/FR/fr/vincent-dureuil-rully-1er-cru-rabource/w/2118635?year=2013&price_id=3819438
Chablis 2018,Besson,Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",465 notes,"€13,30",https://images.vivino.com/thumbs/zHJpPc3HRse-RurbRgFREQ_pb_x600.png,https://www.vivino.com/FR/fr/besson-chablis/w/1812762?year=2018&price_id=23767496
Chablis 2017,Domaine Hamelin,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",373 notes,"€15,20",https://images.vivino.com/thumbs/9G8HqDn4R2GPLGfZBGby9g_pb_x600.png,https://www.vivino.com/FR/fr/domaine-hamelin-chablis/w/1192507?year=2017&price_id=18380461
Chablis 1er Cru 'Fourchaume' 2017,La Chablisienne,100 % Chardonnay,France / Bourgogne / Chablis / Chablis Premier Cru / Chablis 1er Cru 'Fourchaume',Chablis (Bourgogne),13 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",361 notes,€65,https://images.vivino.com/thumbs/1i1MlXXaS7qHjS84jPKX3Q_pb_x600.png,https://www.vivino.com/FR/fr/la-chablisienne-chablis-1er-cru-fourchaume/w/16624?year=2017&price_id=22601794
Per Aspera Chablis 2018,Charly Nicolle,Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",333 notes,"€14,75",https://images.vivino.com/thumbs/AVVTfSROTZ6fv5CyrV4r1A_pb_x600.png,https://www.vivino.com/FR/fr/charly-nicolle-per-aspera-chablis/w/5889314?year=2018&price_id=25507774
Petit Chablis 2019,Domaine Hamelin,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",264 notes,"€12,90",https://images.vivino.com/thumbs/NM8RxthyT_mL6LD0K5nGbw_pb_x600.png,https://www.vivino.com/FR/fr/domaine-hamelin-petit-chablis/w/1192506?year=2019&price_id=24500572
Petit Chablis 2018,Moreau-Naudet,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),13 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",251 notes,€16,https://images.vivino.com/thumbs/IxvhyMi3Rj23KHoTCQn-aA_pb_x600.png,https://www.vivino.com/FR/fr/moreau-naudet-petit-chablis/w/1976264?year=2018&price_id=25276963
Viré-Clessé 2018,Domaine Michel,100 % Chardonnay,France / Bourgogne / Mâconnais / Viré-Clessé,Burgundy Mâconnais White,13.5 %,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,1",229 notes,€15,https://images.vivino.com/thumbs/iYOpXJNuSMCjWE7cKynj_Q_pb_x600.png,https://www.vivino.com/FR/fr/domaine-michel-vire-clesse/w/1200066?year=2018&price_id=21044011
Saint-Romain Rouge 2018,Alain Gras,100 % Pinot Noir,France / Bourgogne / Côte de Beaune / Saint-Romain,Côte de Beaune rouge,12.5 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,1",227 notes,€27,https://images.vivino.com/thumbs/C14ary8CRfSgGkCELPOOaA_pb_x600.png,https://www.vivino.com/FR/fr/alain-gras-saint-romain-rouge/w/1179664?year=2018&price_id=22665874
Montagny 1er Cru 'Les Coères' 2015,Domaine Feuillat-Juillot,100 % Chardonnay,France / Bourgogne / Côte Chalonnaise / Montagny / Montagny Premier Cru / Montagny 1er Cru 'Les Coeres',Bourgogne-Côte Chalonnaise blanc,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,1",178 notes,"€21,74",https://images.vivino.com/thumbs/nHBMu2_xRhmGJudZzxqUKA_pb_x600.png,https://www.vivino.com/FR/fr/feuillat-juillot-montagny-1er-cru-les-coeres/w/1385386?year=2015&price_id=8814615
Crémant de Bourgogne Pinot Noir Brut 2018,Chartron et Trébuchet,Pinot Noir,France / Bourgogne / Crémant de Bourgogne,Crémant (France),12.5 %,sulfites,"Crustacés,Volaille,Apéritif et snacks,Poisson maigre,Apéritif","4,1",153 notes,"€14,27",https://images.vivino.com/thumbs/pkFLzsosTZ-qEug5sIXb4w_pb_x600.png,https://www.vivino.com/FR/fr/chartron-et-trebuchet-cremant-de-bourgogne-pinot-noir-brut/w/8056925?year=2018&price_id=25995809
Chablis Premier Cru Vaillons 2015,Domaine Jean Collet,Chardonnay,France / Bourgogne / Chablis / Chablis Premier Cru,Chablis (Bourgogne),,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",116 notes,"€9,42",https://images.vivino.com/thumbs/bl_24tEzQzGVkU-Ok0Ayqg_150x200.jpg,https://www.vivino.com/FR/fr/jean-collet-and-fils-chablis-premier-cru-vaillons/w/1249804?year=2015&price_id=9853222
Pouilly-Fuissé 2016,Merlin,100 % Chardonnay,France / Bourgogne / Mâconnais / Pouilly-Fuissé,Burgundy Mâconnais White,,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,1",114 notes,"€32,90",https://images.vivino.com/thumbs/PIDTJ-E1RAmcL8B4c-LwBg_pb_x600.png,https://www.vivino.com/FR/fr/olivier-merlin-pouilly-fuisse/w/16944?year=2016&price_id=14501116
Petit Chablis 2019,Louis Jadot,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),12.2 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",108 notes,"€14,70",https://images.vivino.com/thumbs/rvmxW7mbTgKzjnEeqWs9ZA_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-petit-chablis/w/2975?year=2019&price_id=23609154
Givry 'Les Grognots' 2016,Michel Sarrazin,Chardonnay,France / Bourgogne / Côte Chalonnaise / Givry,Bourgogne-Côte Chalonnaise blanc,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,1",102 notes,"€14,60",https://images.vivino.com/thumbs/6XzXAHBPQIWB8uGIXTJx3A_pb_x600.png,https://www.vivino.com/FR/fr/michel-sarrazin-givry-les-grognots/w/1862270?year=2016&price_id=21626400
Domaine Émilian Gillet Quintaine Viré-Clessé 2018,Thevenet Quintaine,Chardonnay,France / Bourgogne / Mâconnais / Viré-Clessé,Burgundy Mâconnais White,14.5 %,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,1",74 notes,"€18,95",https://images.vivino.com/thumbs/Y85dEWp0SE2k4FoDpWvsjA_pb_x600.png,https://www.vivino.com/FR/fr/thevenet-quintaine-domaine-emilian-gillet-quintaine-vire-clesse/w/1182140?year=2018&price_id=25275593
Bourgogne Aligoté 2019,Fanny Sabre,Aligoté,France / Bourgogne / Bourgogne Aligoté,Vin blanc de Bourgogne,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,1",69 notes,"€14,08",https://images.vivino.com/thumbs/rFBm5figS56nJWyVcP2MlQ_pb_x600.png,https://www.vivino.com/FR/fr/fanny-sabre-bourgogne-aligote/w/1486376?year=2019&price_id=25771032
Pouilly-Fuissé 'Terroirs' 2020,Domaine Sangouard-Guyot,Chardonnay,France / Bourgogne / Mâconnais / Pouilly-Fuissé,Burgundy Mâconnais White,13 %,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,1",49 notes,"€13,89",https://images.vivino.com/thumbs/rJZII5NWSD66uFZefKtggg_pb_x600.png,https://www.vivino.com/FR/fr/sangouard-guyot-pouilly-fuisse-terroirs/w/3889074?year=2020&price_id=25293447
Cuvée Tradition Saint-Véran 2019,Domaine de la Feuillarde,Chardonnay,France / Bourgogne / Mâconnais / Saint-Véran,Burgundy Mâconnais White,,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,1",47 notes,"€14,80",https://images.vivino.com/thumbs/5Fcr-46pT86AUWAG2kraWg_pb_x600.png,https://www.vivino.com/FR/fr/feuillarde-cuvee-tradition-saint-veran/w/1624519?year=2019&price_id=24034274
Cuvée Sélection Bourgogne Blanc 2018,Domaine Jacqueson,Chardonnay,France / Bourgogne,Vin blanc de Bourgogne,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,1",44 notes,"€14,30",https://images.vivino.com/thumbs/wqiFF-S2Tk21zaKgL1lVkQ_pb_x600.png,https://www.vivino.com/FR/fr/fr-domaine-jacqueson-cuvee-selection-bourgogne-blanc/w/4488654?year=2018&price_id=24584275
Coteaux Bourguignons 2018,Domaine Chardigny,Pinot Noir,France / Bourgogne / Coteaux Bourguignons,Vin rouge de Bourgogne,,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,1",39 notes,"€9,70",https://images.vivino.com/thumbs/FYFLGY1FSviq7b07JINuaQ_150x200.jpg,https://www.vivino.com/FR/fr/domaine-chardigny-coteaux-bourguignons/w/3086567?year=2018&price_id=21323827
Petit Chablis 2019,Domaine de l'Enclos - Romain et Damien Bouchard,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),13 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",37 notes,"€15,50",https://images.vivino.com/thumbs/HhTeNMKnSyeFcqJ5pDzy8A_pb_x600.png,https://www.vivino.com/FR/fr/domaine-d-enclos-petit-chablis/w/6901008?year=2019&price_id=25325670
